Type,Brand,Product,imgURL,THC,CBD,Effects,Description,ProductUrl
Sativa,TWEED,Iced Tea Raspberry | 355ml,https://images.dutchie.com/c8480940a5178f151fcc0e7e574f7d2a?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 5 mg,E,"Creative,Energetic,Focused,Happy,Inspired","""Tweed Iced Tea Raspberry is a naturally flavoured, refreshing iced cannabis tea infused with sativa-dominant THC distillate. Best enjoyed chilled, this thirst quenching iced cannabis tea is the perfect choice to cool off with.,"",",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/iced-tea-raspberry-355ml
Hybrid,PROPER,Lemon Lime Cannabis Infused Sparkling Water,https://images.dutchie.com/ea05599166388b0a0dee9596ebaf6145?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","Proper Lemon Lime Sparkling Water delivers the perfect blend of citrus flavours. 10mg THC,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/lemon-lime-cannabis-infused-sparkling-water
Sativa,HOUSEPLANT,Lime Sparkling Water | 355ml,https://images.dutchie.com/38ac59dc3ca5d48b0011bf85b70f062a?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 2.5 mg,E,"Creative,Energetic,Focused,Happy,Inspired","""Houseplant Lime is a refreshing and naturally flavoured cannabis-infused sparkling water with sativa-dominant THC distillate. With a subtle hint of lime and the perfect amount of bubbles, this citrusy sparkling water is best enjoyed chilled or over ice.,"",",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/lime-sparkling-water-355ml
Sativa,WANA,Mango Sour Soft Chews | 2x5mg,https://images.dutchie.com/04421d5cef4b52e83a25eac793d1b00e?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Creative,Energetic,Focused,Happy,Inspired","Notes of refreshing sweetness elevated with bursts of tangy citrus come together in these tropical-inspired Mango Sour Soft Chews. Handcrafted with all-natural ingredients, the soft chews are infused with 10 mg of THC and sativa terpene-enhanced distillate.,,2 x 5mg fruit chews,,INGREDIENTS,Sugar, corn syrup, pectin, citric acid, natural flavour, artificial colour, sodium citrate, cannabis distillate,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/mango-sour-soft-chews-2x5mg
Hybrid,FORAY,Peach Mango Soft Chews 1:1 | 2x5mg,https://images.dutchie.com/4db2efef876bb34cddf52d90d159afc4?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,CBD: 10 mg,"Calm,Energetic,Happy,Relaxed","Foray Peach Mango Soft Chews are available in a 2-pack. Each piece contains 5 mg of THC and 5 mg of CBD. This delicious, well-balanced combination of juicy peach and mango taste was designed by the former head of Canada’s Smartest Kitchen, renowned for developing cutting-edge food products. Made from a sativa/indica blend, Foray Soft Chews are proudly developed and manufactured in Charlottetown, PEI by a team of experts.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/peach-mango-soft-chews-1-1-2x5mg
Hybrid,THE GREEN ORGANIC DUTCHMAN,Ripple Dissolvable THC Powder | 1x10mg,https://images.dutchie.com/4ec9c2d2f1fadee9131e538c01719510?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","Just a sprinkle of this quick-dissolving powder and any food or drink is transformed with a precise dose of organic THC and faster onset than traditional edibles.  Just 4 ingredients, no synthetic additives, no added flavour.   Packed into discreet individual sachets for easy sprinkling. Made without animal ingredients.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/ripple-dissolvable-thc-powder-1x10mg
Hybrid,CHOWIE WOWIE,Sour Bunch | 4x2.5mg,https://images.dutchie.com/5413aadb3100d0ce05a666c633f08a8b?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","""These Sour Strawberry & Sour Green Apple fruit-flavoured mints are made with 2.5 mg of THC  per piece.,"",",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/sour-bunch-4x2-5mg
Hybrid,CHOWIE WOWIE,Sour Green Apple Mints | 4x2.5mg,https://images.dutchie.com/5a1b1fee58251a41636858b8bc5f70b3?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","""These Sour Green Apple fruit flavoured mints are made with 2.5 mg of THC  per piece and are best enjoyed with friends.,"",",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/sour-green-apple-mints-4x2-5mg
Hybrid,PHRESH CANNABIS CULTIVATION,Strawberry Kiwi Sparkling Beverage | 355ml,https://images.dutchie.com/5869949a89085932d34a41ec4630e494?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,E,"Calm,Energetic,Happy,Relaxed","PHRESH Strawberry Kiwi is a  refreshing carbonated beverage with perfectly paired flavours of strawberry and kiwi. PHRESH beverages are produced in the 1000 Islands Region, infused with THC derived from 100% Ontario-grown cannabis.,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/strawberry-kiwi-sparkling-beverage-355ml
Hybrid,WANA,Strawberry Lemonade 1:1 Sour Soft Chews | 2x5mg,https://images.dutchie.com/560a40eba873779d24169a865f9212fc?auto=format&fit=fill&fill=solid&fillColor=%23fff&__typename=ImgixSettings&ixlib=react-9.0.2&h=344&w=344,THC: 10 mg,CBD: 10 mg,"Calm,Energetic,Happy,Relaxed","Notes of bright citrus balanced with lush strawberry undertones are what stand out about Wana Strawberry Lemonade Sour Soft Chews. Handcrafted with all-natural ingredients, the soft chews are infused with 10 mg of CBD and 10 mg of THC terpene-enhanced distillate.,,2 x 5mg chews,",https://shop.leaflabcannabis.com/stores/leaf-lab-cannabis/product/strawberry-lemonade-1-1-sour-soft-chews-2x5mg
